# tau(fm)  ecc_1  ecc_2  ecc_3  ecc_4  ecc_5  ecc_6
    5.00000000e-01  1.17557290e-01  6.35050787e-01  2.22545009e-01  3.94750781e-01  2.25452941e-01  1.34717207e-01  
    5.20000000e-01  1.17389173e-01  6.35064858e-01  2.22410884e-01  3.94775790e-01  2.25418257e-01  1.34776526e-01  
    5.40000000e-01  1.17223568e-01  6.35061268e-01  2.22276790e-01  3.94786004e-01  2.25373691e-01  1.34826989e-01  
    5.60000000e-01  1.17059535e-01  6.35039461e-01  2.22141462e-01  3.94780637e-01  2.25318071e-01  1.34868858e-01  
    5.80000000e-01  1.16896202e-01  6.34998856e-01  2.22003820e-01  3.94758550e-01  2.25250575e-01  1.34901786e-01  
    6.00000000e-01  1.16732849e-01  6.34938909e-01  2.21862962e-01  3.94718391e-01  2.25170924e-01  1.34924538e-01  
    6.20000000e-01  1.16568932e-01  6.34859216e-01  2.21718085e-01  3.94659135e-01  2.25078686e-01  1.34936109e-01  
    6.40000000e-01  1.16404070e-01  6.34759451e-01  2.21568522e-01  3.94580085e-01  2.24973287e-01  1.34936052e-01  
    6.60000000e-01  1.16237861e-01  6.34639343e-01  2.21413625e-01  3.94480682e-01  2.24853906e-01  1.34924231e-01  
    6.80000000e-01  1.16069860e-01  6.34498727e-01  2.21252730e-01  3.94360534e-01  2.24719780e-01  1.34900610e-01  
    7.00000000e-01  1.15899726e-01  6.34337510e-01  2.21085356e-01  3.94219290e-01  2.24570658e-01  1.34865196e-01  
    7.20000000e-01  1.15727261e-01  6.34155621e-01  2.20911162e-01  3.94056650e-01  2.24406450e-01  1.34818066e-01  
    7.40000000e-01  1.15552387e-01  6.33953037e-01  2.20729951e-01  3.93872507e-01  2.24227086e-01  1.34759300e-01  
    7.60000000e-01  1.15374950e-01  6.33729740e-01  2.20541563e-01  3.93666733e-01  2.24032345e-01  1.34688977e-01  
    7.80000000e-01  1.15194725e-01  6.33485716e-01  2.20345665e-01  3.93439332e-01  2.23821843e-01  1.34607552e-01  
    8.00000000e-01  1.15011553e-01  6.33220988e-01  2.20142030e-01  3.93190189e-01  2.23595414e-01  1.34514886e-01  
    8.20000000e-01  1.14825364e-01  6.32935546e-01  2.19930574e-01  3.92919136e-01  2.23353116e-01  1.34410802e-01  
    8.40000000e-01  1.14636195e-01  6.32629374e-01  2.19711393e-01  3.92625853e-01  2.23095135e-01  1.34294828e-01  
    8.60000000e-01  1.14444061e-01  6.32302448e-01  2.19484536e-01  3.92309933e-01  2.22821601e-01  1.34166448e-01  
    8.80000000e-01  1.14248867e-01  6.31954841e-01  2.19249869e-01  3.91971378e-01  2.22532212e-01  1.34025744e-01  
    9.00000000e-01  1.14050541e-01  6.31586627e-01  2.19007264e-01  3.91610341e-01  2.22226661e-01  1.33873059e-01  
    9.20000000e-01  1.13849033e-01  6.31197865e-01  2.18756592e-01  3.91226645e-01  2.21904803e-01  1.33708239e-01  
    9.40000000e-01  1.13644302e-01  6.30788705e-01  2.18497830e-01  3.90820534e-01  2.21566709e-01  1.33531468e-01  
    9.60000000e-01  1.13436296e-01  6.30359272e-01  2.18230849e-01  3.90392078e-01  2.21212634e-01  1.33342646e-01  
    9.80000000e-01  1.13224957e-01  6.29909665e-01  2.17955695e-01  3.89941307e-01  2.20842788e-01  1.33141949e-01  
    1.00000000e+00  1.13010205e-01  6.29439977e-01  2.17672370e-01  3.89468149e-01  2.20457481e-01  1.32929321e-01  
    1.02000000e+00  1.12792009e-01  6.28950283e-01  2.17380824e-01  3.88972568e-01  2.20056650e-01  1.32704593e-01  
    1.04000000e+00  1.12570328e-01  6.28440631e-01  2.17081137e-01  3.88454354e-01  2.19640558e-01  1.32467499e-01  
    1.06000000e+00  1.12345214e-01  6.27911165e-01  2.16773287e-01  3.87913755e-01  2.19209203e-01  1.32218446e-01  
    1.08000000e+00  1.12116607e-01  6.27362074e-01  2.16457185e-01  3.87351042e-01  2.18762773e-01  1.31957409e-01  
